Module,Artifact,Header Name,SQL Safe Header Name,Type
googleFitGMS,googleFitGMS,"""Activity Start Time""",activity_start_time,datetime
googleFitGMS,googleFitGMS,"""Activity End Time""",activity_end_time,datetime
googleFitGMS,googleFitGMS,"""Contributing App""",contributing_app,
googleFitGMS,googleFitGMS,"""Activity Type""",activity_type,
googleFitGMS,googleFitGMS,"""Activity Name""",activity_name,
googleFitGMS,googleFitGMS,"""Activity Description""",activity_description,
googleFitGMS,googleFitGMS,"""Source File""",source_file,
BashHistory,bashHistory,"""Order""",order,
BashHistory,bashHistory,"""Command""",command,
airtagAndroid,airtagAlerts,"""Creation Timestamp""",creation_timestamp,datetime
airtagAndroid,airtagAlerts,"""Last Updated Timestamp""",last_updated_timestamp,datetime
airtagAndroid,airtagAlerts,"""MAC Address""",mac_address,
airtagAndroid,airtagAlerts,"""Device Type""",device_type,
airtagAndroid,airtagAlerts,"""Optional Device Data""",optional_device_data,
airtagAndroid,airtagAlerts,"""Alert Life Cycle ID""",alert_life_cycle_id,
airtagAndroid,airtagAlerts,"""Alert Status""",alert_status,
airtagAndroid,airtagScans,"""Creation Timestamp""",creation_timestamp,datetime
airtagAndroid,airtagScans,"""Last Updated Timestamp""",last_updated_timestamp,datetime
airtagAndroid,airtagScans,"""MAC Address""",mac_address,
airtagAndroid,airtagScans,"""State""",state,
airtagAndroid,airtagScans,"""Possible RSSI""",possible_rssi,
airtagAndroid,airtagScans,"""Latitude""",latitude,
airtagAndroid,airtagScans,"""Longitude""",longitude,
airtagAndroid,airtagLastScan,"""Timestamp""",timestamp,datetime
airtagAndroid,airtagPassiveScan,"""Passive Scan""",passive_scan,
usagestatsVersion,usagestatsVersion,"""Property""",property,
usagestatsVersion,usagestatsVersion,"""Property Value""",property_value,
contacts,contacts,"""Mimetype""",mimetype,
contacts,contacts,"""Data 1""",data_1,
contacts,contacts,"""Display Name""",display_name,
contacts,contacts,"""Phone Number""",phone_number,
contacts,contacts,"""Email Address""",email_address,
contacts,contacts,"""Source File""",source_file,
androidauto,extract_android_auto,"""Connection Time""",connection_time,datetime
androidauto,extract_android_auto,"""Manufacturer""",manufacturer,
androidauto,extract_android_auto,"""Model""",model,
androidauto,extract_android_auto,"""Year""",year,
androidauto,extract_android_auto,"""Bluetooth MAC""",bluetooth_mac,
androidauto,extract_android_auto,"""Wi-Fi SSID""",wifi_ssid,
androidauto,extract_android_auto,"""Wi-Fi BSSID""",wifi_bssid,
androidauto,extract_android_auto,"""Wi-Fi Password""",wifi_password,
adb_hosts,adb_hosts,"""Username""",username,
adb_hosts,adb_hosts,"""Hostname""",hostname,
googlePlaySearches,GooglePlaySearches,"""Timestamp""",timestamp,
